[2024-01-14 23:14:15] KEYBOARD: Pid sent to server
[2024-01-14 23:14:17] KEYBOARD: User input received from server
[2024-01-14 23:14:17] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:17] KEYBOARD: User input received from server
[2024-01-14 23:14:17] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:18] KEYBOARD: User input received from server
[2024-01-14 23:14:18] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:19] KEYBOARD: User input received from server
[2024-01-14 23:14:19] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:19] KEYBOARD: User input received from server
[2024-01-14 23:14:19] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:20] KEYBOARD: User input received from server
[2024-01-14 23:14:20] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:20] KEYBOARD: User input received from server
[2024-01-14 23:14:20] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:21] KEYBOARD: User input received from server
[2024-01-14 23:14:21] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:22] KEYBOARD: User input received from server
[2024-01-14 23:14:22] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:22] KEYBOARD: User input received from server
[2024-01-14 23:14:22] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:22] KEYBOARD: User input received from server
[2024-01-14 23:14:22] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:23] KEYBOARD: User input received from server
[2024-01-14 23:14:23] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:23] KEYBOARD: User input received from server
[2024-01-14 23:14:23] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:23] KEYBOARD: User input received from server
[2024-01-14 23:14:23] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:24] KEYBOARD: User input received from server
[2024-01-14 23:14:24] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:24] KEYBOARD: User input received from server
[2024-01-14 23:14:24] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:25] KEYBOARD: User input received from server
[2024-01-14 23:14:25] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:26] KEYBOARD: User input received from server
[2024-01-14 23:14:26] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:27] KEYBOARD: User input received from server
[2024-01-14 23:14:27] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:28] KEYBOARD: User input received from server
[2024-01-14 23:14:28] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:28] KEYBOARD: User input received from server
[2024-01-14 23:14:28] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:29] KEYBOARD: User input received from server
[2024-01-14 23:14:29] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:31] KEYBOARD: User input received from server
[2024-01-14 23:14:31] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:31] KEYBOARD: User input received from server
[2024-01-14 23:14:31] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:31] KEYBOARD: User input received from server
[2024-01-14 23:14:31] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:32] KEYBOARD: User input received from server
[2024-01-14 23:14:32] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:32] KEYBOARD: User input received from server
[2024-01-14 23:14:32] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:32] KEYBOARD: User input received from server
[2024-01-14 23:14:32] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:33] KEYBOARD: User input received from server
[2024-01-14 23:14:33] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:33] KEYBOARD: User input received from server
[2024-01-14 23:14:33] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:34] KEYBOARD: User input received from server
[2024-01-14 23:14:34] KEYBOARD:  Command force sent to server
[2024-01-14 23:14:34] KEYBOARD: User input received from server
