[2024-02-10 17:23:52] PID = 22742

[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:52] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: User input sent to server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: User input sent to server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:53] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: User input sent to server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:54] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:55] WINDOW: Drone_pos, Target_pos, Obst_pos received from server
[2024-02-10 17:23:55] WINDOW: User input sent to server
